# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 10K of event 'cpu/mem-loads/pp'
# Total weight : 96938
# Sort order   : (null)
#
# Overhead       Samples  Local Weight             Memory access                  Symbol      Shared Object             Data Symbol             Data Object         Snoop              TLB access  Locked
# ........  ............  ............  ........................  ......................  .................  ......................  ......................  ............  ......................  ......
#
     0.12%            16  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14434  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14450  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e14478  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14510  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14634  [stack]                 None          L1 or L2 hit            No    
     0.12%            16  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e14638  [stack]                 None          L1 or L2 hit            No    
     0.11%             9  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14148  [stack]                 None          L1 or L2 hit            No    
     0.11%             9  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14288  [stack]                 None          L1 or L2 hit            No    
     0.11%             9  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e143c8  [stack]                 None          L1 or L2 hit            No    
     0.11%             7  15            L1 hit                    [.] 0x00000000000008fe  a.out              [.] 0x00007fff57e14458  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e13ed0  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e13ff8  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14034  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e140d0  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14110  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14138  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e141b8  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14274  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e14278  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e142d0  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e142f4  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e142f8  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e14438  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14474  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e144f4  [stack]                 None          L1 or L2 hit            No    
     0.11%            15  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14590  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e13f74  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e13ff4  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e14138  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14190  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14290  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e142d0  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e143b8  [stack]                 None          L1 or L2 hit            No    
     0.10%            14  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e145d0  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13f08  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e13fcc  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e140c8  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e140cc  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14208  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1430c  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1438c  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1440c  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1444c  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e144cc  [stack]                 None          L1 or L2 hit            No    
     0.10%             8  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1458c  [stack]                 None          L1 or L2 hit            No    
     0.10%            12  8             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14434  [stack]                 None          L1 or L2 hit            No    
     0.10%            12  8             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e145d0  [stack]                 None          L1 or L2 hit            No    
     0.10%            12  8             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14610  [stack]                 None          L1 or L2 hit            No    
     0.10%             5  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1458c  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e13ef8  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14038  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14134  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e141d0  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e141d0  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14248  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14288  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e142b8  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14308  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14350  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e143f8  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14490  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e144f8  [stack]                 None          L1 or L2 hit            No    
     0.09%            13  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14610  [stack]                 None          L1 or L2 hit            No    
     0.09%             4  22            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14548  [stack]                 None          L1 or L2 hit            No    
     0.09%            11  8             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14250  [stack]                 None          L1 or L2 hit            No    
     0.09%             1  87            L1 hit                    [k] 0xffffffff81182b88  [kernel.kallsyms]  [k] 0xffffea00187cec40  [kernel.kallsyms]       None          L1 or L2 hit            No    
     0.09%             4  21            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14608  [stack]                 None          L1 or L2 hit            No    
     0.09%             6  14            L1 hit                    [.] 0x00000000000008fe  a.out              [.] 0x00007fff57e14058  [stack]                 None          L1 or L2 hit            No    
     0.09%             6  14            L1 hit                    [.] 0x00000000000008fe  a.out              [.] 0x00007fff57e141d8  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14048  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1414c  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1414c  [stack]                 None          L1 or L2 hit            No    
